happylife,obama,democratic,republican,supremecourt,africandisc,hispanicdisc,discgaylesbian ,discwomen,discmuslimam,finances,gaymarriage,gayadaptchild,howoftenvote,party,ideology,gender,maritalstatus,martialstatusr,sexualorientation,transgender,lgbtstatus,agelgbtdoubt,agelgbtsure,friendlgbt,toldmomlgbt,difficultmom,aftertoldmom,tolddadlgbt,difficultdad,aftertolddad,toldfriendlgbt,agecategory,agecategoryr,education,educationr,ethnicity,householdhead,householdsize,residence,income2012,religion,religionimportance,christian,lgbtproblems,lgbtsocialacceptance,lgbtacceptancetenyearsago,lgbttenyearsfromnow,lgbtdemocrat,lgbtrepublican,lgbtobama,lgbtentertainment,lgbtmedia,lgbtprofsport,lgbtmilitrary,\lgbtfriendly,lgbtfriendlyp,lgbtacceptone,lgbtaccepttwo,lgbtacceptthree,lgbtacceptfour,lgbtacceptfive,lgbtacceptsix,lgbtaccepttotal,lgbtacceptp,gaysocaccept,lesbiansocaccept,bimensocaccept,biwomensocaccept,transgendersocacc,lgbtsocaccepttotal,lgbtsocacceptp,lgbtfriendly1,lgbtfriendly2,lgbtfriendly2,lgbtfriendly4,lgbtfriendly5,lgbtfriendly6,lgbtfriendlytotal,lgbtfriendlytotalp,religeousconflict,religeousconflictlevel,lgbtaccepttown,livelgbtneighborhood,closefriendlgbt,lgbtpolicy1,lgbtpolicy2,lgbtpolicy3,lgbtpolicy4,lgbtpolicy5,lgbtpolicy6,lgbtpolicy7,lgbtpolicytotal,lgbtpolicyp,physicalattack,slursjokes,poorservice,churchunwelcome,unfairemployment,rejectfamily,lgbtdiscrimination,lgbtdiscriminationp,lgbtsuppoort1,lgbtsupport2,lgbtsupport3,lgbtsupport4,lgbtsupport5,lgbtsupport6,lgbtsupporttotal,lgbtsupportp,lgbtsocialnetwork,reveallgbtsocialnetwork,liketomarry,relationtype,legalcivilunion,childguardian,havechildunder18,spousechildrenunder18,childinyourhome,liketohavechild,employment,workplaceacceptance,workplaceknoworientation,Usborn,minorinhousehold
not too happy,mostly unfavorable,mostly unfavorable,mostly unfavorable,very unfavorable, some, some, a lot, a lot, a lot,good,strongly oppose,strongly oppose,always,democrat,conservative,male,never married,alone,gay,no,males,8,10,18,yes,no,stronger,yes,no,grew stronger,yes,thirty five to fourty four,thirty five to fourty four,bachelor or higher,bachelor or higher,Hispanic,yes,2,own,forty to fifty,nothing,somewhat important,yes,bullying,none at all,none at all,none at all,2,1,2,3,3,2,2,15,57,2,3,3,3,3,2,16,83,1,1,3,3,2,10,50,1,2,2,1,1,1,8,17,yes,a lot,some,yes,some,1,1,1,1,1,1,2,8,5,2,2,1,2,2,1,10,33,2,2,1,3,3,3,14,67,not regularly,yes,yes,NA,NA,yes,no,NA,NA,NA,part time,very accepting,most or all,yes,no
happy,very unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, some, a lot, a lot, some, a lot,poor,strongly oppose,oppose,always,democrat,conservative,male,divorced,alone,gay,no,mostly males,24,25,26,yes,no,stronger,yes,yes,grew stronger,yes,forty five to fifty four,forty five to fifty four,some college,some college,Hispanic,yes,2,own,less than twenty,protestant,somewhat important,NA,marital rights,only a little,none at all,none at all,3,1,3,3,2,2,3,17,71,3,2,2,2,3,3,15,75,1,1,3,3,3,11,60,3,1,2,2,2,3,13,58,no,NA,a lot,no,all or most,1,2,2,1,2,2,2,12,24,1,1,1,1,1,2,7,8,3,3,1,3,3,2,15,75,regularly,yes,yes,NA,NA,yes,no,NA,NA,NA,part time,somewhat accepting,a few,yes,no
not too happy,mostly unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, some, some, some, some, a lot,excellent,oppose,oppose,always,democrat,liberal,female,divorced,alone,lesbian,no,mostly females,17,32,NA,yes,yes,no change,NA,NA,NA,no,sixty five to seventy four,sixty five plus,some college,some college,white,yes,1,own,forty to fifty,protestant,very important,NA,bullying,only a little,only a little,only a little,2,2,2,3,3,2,2,16,64,3,3,3,2,3,1,15,75,3,3,3,3,2,14,90,1,1,1,1,1,1,6,0,no,NA,some,no,some,2,2,2,2,2,2,2,14,33,1,1,1,1,1,1,6,0,2,1,1,1,1,1,7,8,not regularly,no,no,NA,NA,yes,no,NA,NA,NA,retired,NA,NA,yes,no
happy,very unfavorable,mostly unfavorable,very unfavorable,very unfavorable, some, some, some, some, a lot,excellent,strongly oppose,strongly oppose,always,democrat,very liberal,male,living with partner,living with partner,gay,no,males,7,20,27,yes,yes,stronger,yes,yes,grew stronger,yes,thirty five to fourty four,thirty five to fourty four,bachelor or higher,bachelor or higher,white,yes,2,own,more than hundred fifty,agnostic,not at all mportant,NA,marital rights,only a little,none at all,only a little,3,1,3,3,2,NA,2,NA,NA,3,3,3,3,NA,2,NA,NA,3,1,3,1,2,10,50,1,1,2,1,1,2,8,17,no,NA,a lot,yes,some,2,1,2,2,2,2,2,13,29,2,3,2,1,1,1,10,33,2,3,3,3,3,3,17,92,not regularly,yes,yes,NA,no,no,NA,no,NA,not sure,full time,somewhat accepting,some,yes,no
happy,mostly unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, some, some, some, some, a lot,only fair,strongly oppose,NA,nearly always,democrat,liberal,female,divorced,alone,bisexual,no,mostly males,16,NA,45,no,NA,NA,no,NA,NA,yes,fifty five to sixty four,fifty five to sixty four,bachelor or higher,bachelor or higher,white,yes,1,own,twenty to thirty,protestant,somewhat important,NA,acceptance,only a little,none at all,none at all,3,1,3,3,3,1,1,15,57,3,3,3,3,3,1,16,83,2,3,1,2,2,10,50,1,2,2,1,2,3,11,42,no,NA,some,no,a few,1,1,1,2,2,2,2,11,19,1,1,1,1,1,1,6,0,1,1,1,1,1,1,6,0,not regularly,NA,no,NA,NA,yes,no,NA,NA,NA,full time,somewhat accepting,none,yes,no
happy,very unfavorable,mostly unfavorable,very unfavorable,very unfavorable, some, some, some, some, some,only fair,strongly oppose,strongly oppose,nearly always,democrat,liberal,male,never married,alone,gay,no,males,14,19,21,no,NA,NA,no,NA,NA,yes,eighteen to twenty four,eighteen to twenty four,some college,some college,Black,yes,5,own,fifty to seventy five,protestant,somewhat important,NA,marital rights,only a little,only a little,none at all,3,2,3,1,2,1,2,14,50,3,2,3,3,3,3,17,92,3,3,3,3,2,14,90,2,2,1,1,1,2,9,25,yes,a little,a lot,no,a few,2,1,1,1,1,1,1,8,5,1,1,1,2,1,1,7,8,1,3,1,1,1,1,8,17,not regularly,no,not sure,NA,NA,no,NA,NA,NA,not sure,full time,somewhat accepting,some,yes,no
happy,very unfavorable,very unfavorable,very unfavorable,very unfavorable, a lot, a lot, a lot, a lot, a lot,poor,strongly oppose,strongly oppose,seldom,independent,very liberal,male,living with partner,living with partner,bisexual,no,males,8,12,NA,no,NA,NA,no,NA,NA,no,eighteen to twenty four,eighteen to twenty four,some college,some college,Black,yes,2,own,less than twenty,agnostic,not at all mportant,NA,discrimination,only a little,none at all,only a little,2,1,2,3,2,NA,2,NA,NA,2,1,2,2,2,1,10,33,3,2,2,1,1,9,40,1,2,2,1,1,1,8,17,no,NA,a little,no,some,1,2,2,2,2,2,2,13,29,1,1,3,1,1,1,8,17,1,1,3,1,3,1,10,33,not regularly,yes,not sure,NA,no,no,NA,no,NA,no,part time,somewhat accepting,none,yes,no
not too happy,very unfavorable,very unfavorable,very unfavorable,very unfavorable, a lot, some, a lot, some, a lot,good,strongly oppose,strongly oppose,always,democrat,liberal,male,never married,alone,bisexual,no,males and females,11,13,18,yes,yes,no change,no,NA,NA,yes,twenty five to thirty four,twenty five to thirty four,some college,some college,Black,no,5,own,twenty to thirty,protestant,very important,NA,sterotyping,none at all,none at all,none at all,3,1,2,3,2,1,1,13,43,3,3,3,3,3,3,18,100,1,1,1,1,2,6,10,1,1,1,1,1,1,6,0,yes,a little,a lot,no,NA,1,2,1,1,2,1,2,10,14,1,2,1,1,1,2,8,17,3,3,1,2,3,1,13,58,not regularly,yes,yes,NA,NA,yes,no,NA,NA,NA,full time,very accepting,most or all,yes,yes
happy,mostly unfavorable,mostly unfavorable,very unfavorable,NA, some, some, some, some, a lot,only fair,strongly oppose,strongly oppose,sometimes,democrat,moderate,female,never married,alone,lesbian,no,females,16,18,18,yes,yes,stronger,no,NA,NA,yes,forty five to fifty four,forty five to fifty four,high school,high school,white,yes,2,own,fifty to seventy five,agnostic,not at all mportant,NA,NA,only a little,none at all,none at all,2,2,3,3,2,2,2,16,64,3,3,3,2,3,2,16,83,3,3,3,3,2,14,90,1,1,1,1,1,1,6,0,no,NA,some,no,a few,1,1,2,1,2,2,2,11,19,1,1,1,1,1,2,7,8,1,1,1,1,2,1,7,8,not regularly,no,no,NA,NA,yes,yes,NA,yes,NA,full time,very accepting,a few,yes,yes
happy,NA,NA,NA,NA, a lot, a lot, a lot, a lot, some,excellent,strongly oppose,strongly oppose,always,independent,NA,male,widowed,alone,bisexual,NA,females,50,NA,NA,no,NA,NA,NA,NA,NA,no,thirty five to fourty four,thirty five to fourty four,bachelor or higher,bachelor or higher,white,yes,2,own,hundred to hundred fifty,catholic,very important,NA,conservativeaids,none at all,none at all,NA,3,3,3,3,3,1,2,18,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,a lot,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not regularly,no,no,NA,NA,yes,no,NA,NA,NA,full time,#NAME?,none,no,no
happy,very unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, a lot, a lot, a lot, a lot, a lot,excellent,strongly oppose,strongly oppose,always,independent,very liberal,female,married,married,lesbian,no,females,5,30,30,yes,yes,stronger,yes,yes,no change,yes,seventy five plus,sixty five plus,some college,some college,white,yes,2,own,hundred to hundred fifty,catholic,very important,NA,discrimination,only a little,none at all,none at all,2,1,3,2,2,1,1,12,36,3,3,3,3,3,2,17,92,3,3,3,3,2,14,90,1,1,2,1,1,2,8,17,no,NA,some,no,some,1,1,1,1,2,1,1,8,5,2,3,2,3,2,2,14,67,2,2,2,2,2,3,13,58,not regularly,NA,NA,legally married,NA,yes,no,no,NA,NA,retired,NA,NA,no,no
happy,mostly unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, a lot, a lot, some, some, a lot,good,strongly oppose,strongly oppose,always,democrat,liberal,male,never married,alone,gay,no,males,4,13,17,yes,yes,stronger,yes,yes,grew stronger,yes,thirty five to fourty four,thirty five to fourty four,bachelor or higher,bachelor or higher,white,no,1,own,hundred to hundred fifty,agnostic,not at all mportant,NA,discrimination,only a little,none at all,none at all,3,1,3,3,2,1,2,15,57,3,2,2,3,2,1,13,58,3,2,3,3,1,12,70,1,1,2,1,1,2,8,17,no,NA,a lot,yes,some,1,2,2,2,2,2,2,13,29,2,2,1,1,1,1,8,17,3,3,2,2,2,3,15,75,not regularly,yes,yes,NA,NA,no,NA,NA,NA,no,full time,very accepting,most or all,yes,no
happy,mostly unfavorable,very unfavorable,mostly unfavorable,mostly unfavorable, some, some, a lot, some, a lot,good,strongly oppose,strongly oppose,always,independent,moderate,female,divorced,alone,bisexual,no,mostly females,14,14,14,yes,no,no change,no,NA,NA,yes,thirty five to fourty four,thirty five to fourty four,bachelor or higher,bachelor or higher,white,yes,5,own,forty to fifty,protestant,not too  important,NA,NA,only a little,none at all,none at all,2,2,3,3,2,1,1,14,50,3,3,3,3,3,3,18,100,3,3,2,3,2,13,80,1,1,1,1,1,1,6,0,no,NA,some,no,a few,1,1,2,2,1,1,2,10,14,1,3,1,2,1,1,9,25,3,3,3,3,3,3,18,100,not regularly,no,no,NA,NA,no,NA,NA,NA,no,full time,somewhat accepting,some,yes,yes
happy,very unfavorable,mostly unfavorable,very unfavorable,very unfavorable, some, some, some, some, a lot,good,strongly oppose,strongly oppose,always,democrat,liberal,male,living with partner,living with partner,gay,no,males,7,15,18,yes,no,stronger,no,NA,NA,yes,thirty five to fourty four,thirty five to fourty four,bachelor or higher,bachelor or higher,white,yes,1,own,seventy five to hundred,catholic,not too  important,NA,religeous rights,only a little,none at all,none at all,3,1,3,3,2,1,2,15,57,3,3,3,2,3,2,16,83,3,3,2,2,2,12,70,1,1,2,1,1,1,7,8,no,NA,a lot,no,all or most,2,1,2,2,2,2,1,12,24,1,1,1,1,1,1,6,0,2,3,3,2,3,3,16,83,not regularly,no,yes,NA,yes,no,NA,no,NA,not sure,full time,very accepting,most or all,yes,no
not too happy,very unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, some, some, a lot, some, a lot,poor,strongly oppose,strongly oppose,nearly always,democrat,liberal,female,never married,alone,bisexual,no,mostly females,20,52,52,no,NA,NA,no,NA,NA,yes,forty five to fifty four,forty five to fifty four,bachelor or higher,bachelor or higher,white,yes,1,own,twenty to thirty,nothing,somewhat important,yes,discrimination,none at all,none at all,none at all,3,1,3,3,3,1,1,15,57,3,2,3,3,3,2,16,83,3,1,3,3,2,12,70,1,1,2,1,1,2,8,17,no,NA,some,no,none,1,1,1,1,1,2,1,8,5,1,1,1,1,1,1,6,0,2,2,3,2,2,1,12,50,not regularly,no,not sure,NA,NA,no,NA,NA,NA,no,full time,somewhat accepting,none,yes,no
happy,mostly unfavorable,mostly unfavorable,very unfavorable,very unfavorable, a lot, a lot, a lot, a lot, a lot,good,strongly oppose,strongly oppose,always,democrat,liberal,female,living with partner,living with partner,lesbian,no,females,48,48,48,yes,yes,no change,NA,NA,NA,yes,fifty five to sixty four,fifty five to sixty four,high school,high school,white,yes,3,own,fifty to seventy five,agnostic,not at all mportant,NA,discrimination,only a little,none at all,none at all,3,1,3,3,2,1,2,15,57,3,2,3,3,3,2,16,83,3,3,2,3,2,13,80,1,1,2,1,1,2,8,17,no,NA,a little,no,a few,1,1,1,2,2,2,1,10,14,1,3,3,1,1,2,11,42,2,3,3,1,2,2,13,58,not regularly,no,yes,NA,no,yes,no,no,NA,NA,full time,somewhat accepting,a few,yes,no
not too happy,mostly unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, a lot, a lot, a lot, some, a lot,excellent,strongly oppose,strongly oppose,always,democrat,moderate,female,living with partner,living with partner,lesbian,no,females,16,19,18,yes,no,no change,no,NA,NA,yes,sixty five to seventy four,sixty five plus,bachelor or higher,bachelor or higher,white,yes,2,own,forty to fifty,protestant,not too  important,NA,legal rights,none at all,none at all,none at all,3,1,3,3,3,2,2,17,71,3,3,3,3,3,2,17,92,1,1,3,3,3,11,60,3,2,2,1,1,2,11,42,no,NA,some,no,all or most,1,1,2,2,1,1,2,10,14,1,1,1,1,1,1,6,0,2,3,3,2,3,3,16,83,not regularly,no,yes,NA,no,no,NA,no,NA,NA,retired,NA,NA,yes,no
not too happy,mostly unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, a lot, a lot, a lot, a lot, a lot,only fair,strongly oppose,strongly oppose,seldom,independent,moderate,female,married,married,bisexual,no,males and females,6,16,21,no,NA,NA,no,NA,NA,yes,twenty five to thirty four,twenty five to thirty four,some college,some college,Hispanic,no,3,own,less than twenty,catholic,very important,NA,sterotyping,only a little,only a little,only a little,2,1,2,3,2,2,1,13,43,3,3,3,3,3,3,18,100,3,1,2,1,2,9,40,1,1,1,1,1,1,6,0,yes,a lot,a little,no,some,2,2,2,1,2,2,2,13,29,1,1,1,1,1,2,7,8,1,3,3,2,2,1,12,50,not regularly,no,NA,legally married,NA,no,NA,no,NA,yes,full time,not at all accepting,none,no,no
not too happy,very unfavorable,very unfavorable,mostly unfavorable,mostly unfavorable, a lot, some, a lot, some, a lot,only fair,oppose,oppose,seldom,independent,moderate,female,married,married,bisexual,no,males,15,23,NA,no,NA,NA,no,NA,NA,no,twenty five to thirty four,twenty five to thirty four,some college,some college,Hispanic,yes,4,own,seventy five to hundred,NA,not too  important,yes,discrimination,only a little,only a little,none at all,2,2,2,3,3,2,1,15,57,3,2,2,3,1,2,13,58,2,2,1,1,1,7,20,1,1,1,1,2,1,7,8,yes,a little,a little,no,a few,1,1,2,2,2,1,1,10,14,1,1,1,1,1,1,6,0,1,1,1,1,1,1,6,0,not regularly,no,NA,legally married,NA,yes,yes,NA,yes,NA,full time,somewhat accepting,none,yes,yes
happy,very unfavorable,very unfavorable,very unfavorable,very unfavorable, a lot, a lot, a lot, some, a lot,only fair,strongly oppose,oppose,always,democrat,moderate,male,never married,alone,gay,no,males,5,12,18,no,NA,NA,no,NA,NA,yes,forty five to fifty four,forty five to fifty four,bachelor or higher,bachelor or higher,Hispanic,yes,1,own,twenty to thirty,nothing,not too  important,yes,acceptance,only a little,only a little,none at all,3,1,2,3,3,1,2,15,57,3,3,2,2,2,3,15,75,1,3,2,2,2,10,50,1,1,1,1,1,2,7,8,no,NA,a lot,no,some,1,2,2,1,2,2,2,12,24,1,1,1,1,1,1,6,0,2,2,2,2,2,1,11,42,not regularly,yes,not sure,NA,NA,no,NA,NA,NA,no,full time,very accepting,most or all,yes,no
happy,very unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, some, some, a lot, some, some,only fair,strongly oppose,strongly oppose,always,independent,liberal,female,divorced,alone,bisexual,no,males and females,14,18,17,yes,yes,no change,yes,yes,no change,yes,thirty five to fourty four,thirty five to fourty four,some college,some college,white,yes,3,own,forty to fifty,protestant,very important,NA,acceptance,only a little,none at all,none at all,3,1,3,3,3,2,2,17,71,3,3,3,3,3,1,16,83,2,3,2,3,2,12,70,2,2,2,1,1,2,10,33,no,NA,some,no,some,1,1,1,1,2,1,2,9,10,1,3,1,2,1,2,10,33,3,3,3,2,2,3,16,83,regularly,yes,not sure,NA,NA,yes,yes,NA,yes,NA,full time,not so  accepting,a few,yes,yes
happy,very unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, a lot, some, a lot, some, a lot,only fair,strongly oppose,strongly oppose,always,democrat,liberal,female,never married,alone,trans gender,yes,males and females,NA,24,24,yes,yes,no change,yes,yes,grew weaker,yes,forty five to fifty four,forty five to fifty four,some college,some college,white,no,3,own,less than twenty,other,not too  important,yes,conservativeaids,only a little,only a little,only a little,1,1,1,2,2,2,2,11,29,2,1,2,2,1,1,9,25,1,1,3,3,2,10,50,2,3,3,2,1,3,14,67,no,NA,a little,no,some,1,1,1,2,1,2,1,9,10,2,2,1,2,2,2,11,42,1,2,1,1,1,1,7,8,not regularly,no,not sure,NA,NA,no,NA,NA,NA,yes,part time,somewhat accepting,a few,yes,no
not too happy,very unfavorable,very unfavorable,very unfavorable,mostly unfavorable, some, some, a lot, some, some,only fair,strongly oppose,strongly oppose,nearly always,independent,very liberal,female,married,married,bisexual,no,males and females,10,17,18,yes,no,no change,no,NA,NA,yes,twenty five to thirty four,twenty five to thirty four,some college,some college,white,yes,5,own,twenty to thirty,other,somewhat important,no,religeous rights,only a little,only a little,only a little,1,2,2,3,1,3,3,15,57,2,3,3,2,3,2,15,75,3,3,2,2,2,12,70,1,2,3,2,1,1,10,33,no,NA,a lot,no,all or most,1,1,1,2,2,1,2,10,14,2,3,2,2,3,2,14,67,1,3,3,2,2,2,13,58,regularly,yes,NA,legally married,NA,yes,yes,NA,yes,NA,unemployed,NA,NA,yes,yes
not too happy,very unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, a lot, some, some, some, a lot,good,strongly oppose,strongly oppose,always,democrat,moderate,female,divorced,alone,lesbian,no,females,45,45,45,yes,no,no change,no,NA,NA,yes,forty five to fifty four,forty five to fifty four,bachelor or higher,bachelor or higher,white,yes,3,own,hundred to hundred fifty,protestant,very important,NA,legal rights,none at all,none at all,none at all,3,1,3,3,2,2,2,16,64,3,2,3,3,3,2,16,83,3,3,3,3,2,14,90,1,2,2,1,1,2,9,25,no,NA,some,no,a few,1,1,1,2,1,2,2,10,14,1,2,1,1,1,2,8,17,1,2,1,1,1,1,7,8,not regularly,NA,yes,NA,NA,yes,yes,NA,yes,NA,full time,somewhat accepting,some,no,yes
happy,mostly unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, some, some, a lot, some, some,good,strongly oppose,strongly oppose,nearly always,democrat,liberal,male,never married,alone,gay,no,males,5,12,15,yes,no,no change,NA,NA,NA,yes,fifty five to sixty four,fifty five to sixty four,some college,some college,white,yes,1,own,seventy five to hundred,nothing,not at all mportant,no,legal rights,only a little,none at all,none at all,3,1,2,3,2,1,2,14,50,3,3,3,3,3,2,17,92,3,3,3,1,2,12,70,1,1,1,1,1,2,7,8,no,NA,some,yes,all or most,1,2,2,2,2,2,2,13,29,2,2,1,2,2,2,11,42,3,3,3,2,3,3,17,92,not regularly,yes,yes,NA,NA,no,NA,NA,NA,no,full time,somewhat accepting,most or all,yes,no
happy,very unfavorable,very unfavorable,mostly unfavorable,very unfavorable, some, a lot, some, a lot, some,only fair,oppose,oppose,always,independent,moderate,male,never married,alone,bisexual,no,mostly males,16,21,NA,no,NA,NA,no,NA,NA,no,forty five to fifty four,forty five to fifty four,some college,some college,white,yes,1,own,twenty to thirty,catholic,very important,NA,legal rights,only a little,only a little,only a little,2,2,3,2,1,1,2,13,43,2,2,2,2,2,1,11,42,3,3,3,3,2,14,90,2,2,2,1,1,2,10,33,yes,a lot,a little,no,a few,1,2,2,1,2,2,2,12,24,1,1,1,1,1,1,6,0,1,1,1,1,1,1,6,0,not regularly,NA,not sure,NA,NA,no,NA,NA,NA,not sure,full time,somewhat accepting,none,yes,no
happy,mostly unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, some, some, a lot, some, a lot,poor,strongly oppose,strongly oppose,always,democrat,liberal,female,married,married,bisexual,no,males and females,8,13,19,no,NA,NA,no,NA,NA,yes,twenty five to thirty four,twenty five to thirty four,bachelor or higher,bachelor or higher,white,yes,4,own,twenty to thirty,agnostic,not at all mportant,NA,discrimination,only a little,only a little,only a little,2,1,3,3,2,2,1,14,50,3,2,3,3,3,2,16,83,2,3,3,3,1,12,70,1,1,1,1,1,1,6,0,no,NA,some,no,a few,1,2,1,1,2,1,2,10,14,1,1,1,1,1,2,7,8,1,1,1,1,1,1,6,0,not regularly,no,NA,legally married,NA,yes,yes,NA,yes,NA,unemployed,NA,NA,yes,yes
not too happy,mostly unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, some, some, a lot, a lot, some,excellent,strongly oppose,strongly oppose,nearly always,independent,liberal,female,living with partner,living with partner,lesbian,no,females,9,30,20,yes,yes,stronger,yes,yes,no change,yes,twenty five to thirty four,twenty five to thirty four,some college,some college,white,no,4,own,thirty to forty,NA,somewhat important,yes,marital rights,none at all,only a little,none at all,3,1,3,3,2,2,2,16,64,3,3,3,3,3,3,18,100,3,1,2,1,3,10,50,1,1,2,1,2,1,8,17,no,NA,a lot,yes,some,1,1,1,1,1,1,1,7,0,1,3,1,1,1,2,9,25,3,3,2,3,3,3,17,92,regularly,yes,yes,NA,no,no,NA,no,NA,not sure,full time,somewhat accepting,most or all,yes,no
happy,very unfavorable,very unfavorable,mostly unfavorable,very unfavorable, some, some, some, a lot, some,only fair,oppose,oppose,seldom,independent,moderate,male,married,married,bisexual,no,mostly females,18,18,NA,NA,NA,NA,NA,NA,NA,no,forty five to fifty four,forty five to fifty four,some college,some college,NA,yes,2,own,hundred to hundred fifty,protestant,not too  important,NA,NA,only a little,only a little,only a little,2,2,2,3,1,1,1,12,36,2,2,2,2,1,2,11,42,2,3,3,3,2,13,80,1,1,1,1,1,1,6,0,yes,a lot,some,no,a few,2,2,2,2,2,2,2,14,33,1,1,1,1,1,1,6,0,1,1,1,1,1,1,6,0,not regularly,NA,NA,legally married,NA,no,NA,no,NA,no,full time,somewhat accepting,none,no,no
happy,very unfavorable,mostly unfavorable,very unfavorable,very unfavorable, some, some, some, some, some,good,oppose,oppose,nearly always,democrat,moderate,male,never married,alone,gay,no,males,14,19,24,no,NA,NA,no,NA,NA,yes,fifty five to sixty four,fifty five to sixty four,high school,high school,white,yes,1,own,twenty to thirty,protestant,not at all mportant,NA,legal rights,only a little,none at all,none at all,3,1,3,3,3,1,2,16,64,3,2,2,2,2,1,12,50,3,3,3,3,2,14,90,1,1,2,1,2,2,9,25,no,NA,none,no,a few,1,2,2,2,2,2,2,13,29,1,1,1,1,1,1,6,0,1,1,1,1,1,1,6,0,not regularly,no,no,NA,NA,no,NA,NA,NA,NA,retired,NA,NA,yes,no
happy,mostly unfavorable,mostly unfavorable,very unfavorable,mostly unfavorable, some, some, some, some, a lot,good,strongly oppose,oppose,always,democrat,liberal,male,never married,alone,bisexual,no,mostly females,8,8,17,NA,NA,NA,NA,NA,NA,yes,thirty five to fourty four,thirty five to fourty four,bachelor or higher,bachelor or higher,white,yes,2,own,seventy five to hundred,nothing,not at all mportant,no,legal rights,only a little,only a little,only a little,3,1,3,3,2,2,1,15,57,3,1,2,2,2,1,11,42,2,3,1,3,1,10,50,1,1,2,1,1,2,8,17,no,NA,some,no,a few,1,2,2,2,1,2,1,11,19,1,1,1,1,1,1,6,0,1,1,1,1,1,2,7,8,not regularly,no,no,NA,NA,no,NA,NA,NA,no,full time,very accepting,some,yes,no
happy,very unfavorable,very unfavorable,very unfavorable,very unfavorable, a lot, a lot, a lot, a lot, a lot,good,strongly oppose,strongly oppose,always,democrat,liberal,male,married,married,bisexual,no,mostly females,10,22,24,no,NA,NA,no,NA,NA,yes,thirty five to fourty four,thirty five to fourty four,bachelor or higher,bachelor or higher,white,yes,3,own,hundred to hundred fifty,agnostic,not at all mportant,NA,discrimination,none at all,none at all,none at all,3,1,3,3,3,1,1,15,57,3,3,3,3,3,3,18,100,1,1,3,3,2,10,50,1,1,1,1,1,1,6,0,no,NA,some,no,some,1,1,1,2,1,2,1,9,10,1,2,1,1,1,1,7,8,3,3,3,2,2,3,16,83,regularly,yes,NA,legally married,NA,yes,yes,NA,yes,NA,full time,very accepting,a few,yes,yes
happy,very unfavorable,mostly unfavorable,very unfavorable,very unfavorable, a lot, a lot, a lot, a lot, a lot,poor,strongly oppose,strongly oppose,always,democrat,moderate,male,never married,alone,gay,no,males,10,12,12,yes,yes,stronger,yes,no,no change,yes,forty five to fifty four,forty five to fifty four,bachelor or higher,bachelor or higher,Hispanic,yes,1,own,less than twenty,catholic,not too  important,NA,discrimination,only a little,none at all,none at all,3,1,3,3,2,1,2,15,57,3,3,3,3,3,3,18,100,3,3,3,1,2,12,70,1,1,1,1,1,2,7,8,no,NA,a lot,no,some,1,1,2,1,1,1,1,8,5,2,2,2,2,1,2,11,42,2,2,2,2,2,2,12,50,not regularly,yes,not sure,NA,NA,no,NA,NA,NA,no,unemployed,NA,NA,yes,no
not too happy,mostly unfavorable,very unfavorable,very unfavorable,mostly unfavorable, some, some, some, some, some,only fair,oppose,oppose,sometimes,independent,moderate,female,never married,alone,bisexual,no,males and females,20,21,NA,no,NA,NA,no,NA,NA,no,twenty five to thirty four,twenty five to thirty four,some college,some college,white,yes,1,NA,less than twenty,protestant,somewhat important,NA,legal rights,only a little,only a little,only a little,3,1,3,1,2,1,1,12,36,3,2,2,2,2,1,12,50,3,3,2,3,2,13,80,1,1,1,1,1,3,8,17,yes,a little,a little,no,none,2,1,2,2,1,2,1,11,19,1,1,1,1,1,1,6,0,1,1,1,1,1,1,6,0,not regularly,no,not sure,NA,NA,no,NA,NA,NA,no,full time,not so  accepting,none,yes,no
